id,est_psi03,est_psi13,est_psi23,method,p_I1,p_I2,ph1,ph2,seed,psi03,psi13,psi23,gamma13,gamma23
138,1.190695551998932,1.4328937948947944,1.1472265889850382,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
139,0.9570838619452212,1.0944049768357351,0.8688166731182745,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
140,1.1583737941971068,1.2679713795549459,1.2078932303829193,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
141,1.003922160102359,1.055316252510067,1.0264204740379568,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
142,0.9657403380897637,1.1118726360472186,1.2896799305937767,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
143,1.073462348171085,1.3913088174795474,0.8917092857612864,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
144,1.269946517567185,1.4465474764468806,1.1599149989451416,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
145,1.1943235669127903,1.3819949150284896,1.4501807829694529,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
146,0.7636747363665876,1.2314708383608786,1.0711183593227134,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
147,1.1043801981716252,1.770870749770402,1.0250004183968207,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
148,1.2805582254877586,1.253837734010157,1.1234315607052474,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
149,1.0019873320278043,1.1368555475845656,1.149382399521579,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
150,1.196677515010961,1.2880080144022212,0.9734256372758916,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
151,1.0690989044533221,1.0378199360764386,0.9124405885311081,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
152,0.92043193099399,1.0098232919214167,1.0983999122260548,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
153,0.8626856181971868,0.9917387544838989,1.1498876678051744,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
154,1.0920689856853143,1.6398397579003803,0.9444018848422762,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
155,0.9680717259224834,1.6313681860184361,0.9933951051746577,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
156,1.3080282276797306,1.1437446817187227,1.2076348775026329,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
157,0.9652748610633397,1.2850892599278274,0.7015922888007051,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
158,1.2792151359114783,1.840847485824941,1.02526261734306,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
159,0.9509359000380742,1.802691385250111,1.022478934355523,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
160,1.1223578406306922,1.1435732979649216,1.1579348679774664,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
161,1.066346818635061,1.2846740868109416,0.7516809202342183,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
162,1.3097143296199931,1.9779519685726337,0.8796802053390212,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
163,1.1468300075625877,1.6218588378889527,1.0303387766702585,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
164,0.5975793150226321,1.6055909558192367,0.7034012003413636,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
165,0.9848216119766514,1.4932964410409708,1.0678496880157218,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
166,1.13672045784909,1.0786332996385912,1.3106451433474224,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
167,0.7187015441547279,1.3153844110974562,1.011816246617967,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
